Scenario - randomOutcome
Logfile written - 07/04/2023 12:09:39

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

23526	19	Port Input	1	292690	21516	4
23526	19	Response	2	292690	21516	4
23526	21	Nothing	90	301907	0	1			0		other	0
23526	22	Sound	21	322661	0	1			0		hit	164
23526	22	Port Input	1	324675	2013	5
23526	22	Response	2	324675	2013	5
23526	23	Nothing	5	325432	0	1			0		other	0
23526	23	Port Input	1	325964	532	4
23526	23	Response	2	325964	532	4
23526	23	Port Input	1	328172	2740	4
23526	23	Response	2	328172	2740	4
23526	23	Port Input	1	330744	5311	6
23526	23	Response	2	330744	5311	6
23526	23	Port Input	1	332009	6576	4
23526	23	Response	2	332009	6576	4
23526	23	Port Input	1	333395	7963	4
23526	23	Response	2	333395	7963	4
23526	23	Port Input	1	334731	9298	4
23526	23	Response	2	334731	9298	4
23526	23	Port Input	1	336135	10703	5
23526	23	Response	2	336135	10703	5
23526	23	Port Input	1	337525	12093	4
23526	23	Response	2	337525	12093	4
23526	23	Port Input	1	338759	13327	4
23526	23	Response	2	338759	13327	4
23526	23	Port Input	1	340115	14682	4
23526	23	Response	2	340115	14682	4
23526	23	Port Input	1	341468	16035	4
23526	23	Response	2	341468	16035	4
23526	23	Port Input	1	342696	17264	4
23526	23	Response	2	342696	17264	4
23526	23	Port Input	1	344068	18636	4
23526	23	Response	2	344068	18636	4
23526	23	Port Input	1	345503	20070	4
23526	23	Response	2	345503	20070	4
23526	23	Port Input	1	347312	21880	5
23526	23	Response	2	347312	21880	5
23526	23	Port Input	1	348781	23349	4
23526	23	Response	2	348781	23349	4
23526	23	Port Input	1	350524	25092	9
23526	23	Response	2	350524	25092	9
23526	23	Port Input	1	353017	27584	4
23526	23	Response	2	353017	27584	4
23526	23	Port Input	1	354619	29187	4
23526	23	Response	2	354619	29187	4
23526	25	Nothing	90	356083	0	1			0		other	0
23526	25	Port Input	1	356766	683	5
23526	25	Response	2	356766	683	5
23526	26	Nothing	90	380382	0	1			0		other	0
23526	26	Port Input	1	392240	11858	4
23526	26	Response	2	392240	11858	4
23526	26	Port Input	1	393612	13230	5
23526	26	Response	2	393612	13230	5
23526	26	Port Input	1	395269	14887	4
23526	26	Response	2	395269	14887	4
23526	26	Port Input	1	396665	16283	4
23526	26	Response	2	396665	16283	4
23526	26	Port Input	1	400240	19857	4
23526	26	Response	2	400240	19857	4
23526	27	Nothing	90	401509	0	1			0		other	0
23526	28	Sound	21	413764	0	1			0		hit	221
23526	28	Port Input	1	415605	1841	4
23526	28	Response	2	415605	1841	4
23526	29	Nothing	1004	416068	0	0			0		other	0
23526	30	Nothing	63	416175	0	1			0		other	0
23526	31	Nothing	95	416477	0	0			0		other	0
23526	31	Port Input	1	417068	591	4
23526	31	Response	2	417068	591	4
23526	31	Port Input	1	418232	1755	5
23526	31	Response	2	418232	1755	5
23526	31	Port Input	1	419386	2909	5
23526	31	Response	2	419386	2909	5
23526	31	Port Input	1	420504	4026	4
23526	31	Response	2	420504	4026	4
